otu,kingdom,phylum,class,order,family,genus,species,representative_gene
100198,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
100954,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__unclassified,number.1 gg_id:00000 some annotation
101249,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
101433,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__unclassified,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
101552,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Aquabacteriaceae,g__Aquabacterium,s__unclassified,number.1 gg_id:00000 some annotation
10167,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
102506,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__RikenellaceaeII,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
103428,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__unclassified,number.1 gg_id:00000 some annotation
103685,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
103782,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
104249,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__unclassified,number.1 gg_id:00000 some annotation
104447,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__RikenellaceaeII,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
104780,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
105108,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
105109,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
10518,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,s__unclassified,number.1 gg_id:00000 some annotation
105349,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
105358,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
