cel,ShortName,ShortNameOld,Well,Plate,Timepoint,Treatment,CB315vUNT,METvUNT,CUB2vUNT,VANvUNT,GENTvUNT,CB315vMET,CB315vCUB2,CB315vVAN,CB315time,METtime,CUB2time,VANtime,gDNAship,gDNAlab,PCRyield,PCRperf
CB315D0M1,CB315D0M1,CB-B-M 1,A1,1,1.Baseline,CB183315,NA,NA,NA,NA,NA,NA,NA,NA,1.Baseline,NA,NA,NA,1200,99.87,,fail
CB315D0M2,CB315D0M2,CB-B-M 2,B1,1,1.Baseline,CB183315,NA,NA,NA,NA,NA,NA,NA,NA,1.Baseline,NA,NA,NA,302.4,23.89,,
CB315D0M3,CB315D0M3,CB-B-M 3,C1,1,1.Baseline,CB183315,NA,NA,NA,NA,NA,NA,NA,NA,1.Baseline,NA,NA,NA,391.2,24.14,,
CB315D0M4,CB315D0M4,CB-B-M 4,D1,1,1.Baseline,CB183315,NA,NA,NA,NA,NA,NA,NA,NA,1.Baseline,NA,NA,NA,256.8,24.44,,
CB315D0M5,CB315D0M5,CB-B-M 5,E1,1,1.Baseline,CB183315,NA,NA,NA,NA,NA,NA,NA,NA,1.Baseline,NA,NA,NA,350.4,37.33,,
CB315D5M1,CB315D5M1,CB-D 5 -M 1,F1,1,2.Day5,CB183315,CB183315,NA,NA,NA,NA,CB183315,CB183315,CB183315,2.Day5,NA,NA,NA,261.6,28.19,,
CB315D5M2,CB315D5M2,CB-D 5 -M 2,G1,1,2.Day5,CB183315,CB183315,NA,NA,NA,NA,CB183315,CB183315,CB183315,2.Day5,NA,NA,NA,376.8,26.78,,
CB315D5M3,CB315D5M3,CB-D 5 -M 3,H1,1,2.Day5,CB183315,CB183315,NA,NA,NA,NA,CB183315,CB183315,CB183315,2.Day5,NA,NA,NA,804,81.77,,
CB315D5M4,CB315D5M4,CB-D 5 -M 4,A2,1,2.Day5,CB183315,CB183315,NA,NA,NA,NA,CB183315,CB183315,CB183315,2.Day5,NA,NA,NA,277.2,21.68,,
CB315D5M5,CB315D5M5,CB-D 5 -M 5,B2,1,2.Day5,CB183315,CB183315,NA,NA,NA,NA,CB183315,CB183315,CB183315,2.Day5,NA,NA,NA,499.2,53.41,,
CB315D10M1,CB315D10M1,CB-D 10 -M 1,C2,1,3.Day10,CB183315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498,76.86,,
CB315D10M2,CB315D10M2,CB-D 10 -M 2,D2,1,3.Day10,CB183315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439.2,75.26,,
CB315D10M3,CB315D10M3,CB-D 10 -M 3,E2,1,3.Day10,CB183315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382.8,38.74,,
CB315D10M4,CB315D10M4,CB-D 10 -M 4,F2,1,3.Day10,CB183315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482.4,103.06,,
CB315D10M5,CB315D10M5,CB-D 10 -M 5,G2,1,3.Day10,CB183315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255.6,31.69,,
CB315D15M1,CB315D15M1,CB-D 15-M 1,H2,1,4.Day15,CB183315,NA,NA,NA,NA,NA,NA,NA,NA,3.Day15,NA,NA,NA,258,20.46,,
CB315D15M2,CB315D15M2,CB-D 15-M 2,A3,1,4.Day15,CB183315,NA,NA,NA,NA,NA,NA,NA,NA,3.Day15,NA,NA,NA,474,54.7,,
CB315D15M3,CB315D15M3,CB-D 15-M 3,B3,1,4.Day15,CB183315,NA,NA,NA,NA,NA,NA,NA,NA,3.Day15,NA,NA,NA,242.4,22.48,,
CB315D15M4,CB315D15M4,CB-D 15-M 4,C3,1,4.Day15,CB183315,NA,NA,NA,NA,NA,NA,NA,NA,3.Day15,NA,NA,NA,360,53.29,,
CB315D15M5,CB315D15M5,CB-D 15-M 5,D3,1,4.Day15,CB183315,NA,NA,NA,NA,NA,NA,NA,NA,3.Day15,NA,NA,NA,842.4,116.87,,
METD0M11,METD0M11,MET -B-M 11,E3,1,1.Baseline,METRONIDAZOLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.Baseline,NA,NA,319.2,21.31,,
METD0M12,METD0M12,MET -B-M 12,F3,1,1.Baseline,METRONIDAZOLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.Baseline,NA,NA,477.6,45.13,,
METD0M13,METD0M13,MET -B-M 13,G3,1,1.Baseline,METRONIDAZOLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.Baseline,NA,NA,333.6,35.18,,
METD0M14,METD0M14,MET -B-M 14,H3,1,1.Baseline,METRONIDAZOLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.Baseline,NA,NA,765.6,60.29,,
METD5M11,METD5M11,MET -D 5-M 11,A4,1,2.Day5,METRONIDAZOLE,NA,METRONIDAZOLE,NA,NA,NA,METRONIDAZOLE,NA,NA,NA,2.Day5,NA,NA,570,108.16,,
METD5M12,METD5M12,MET -D 5-M 12,B4,1,2.Day5,METRONIDAZOLE,NA,METRONIDAZOLE,NA,NA,NA,METRONIDAZOLE,NA,NA,NA,2.Day5,NA,NA,384,31.5,,fail
METD5M13,METD5M13,MET -D 5-M 13,C4,1,2.Day5,METRONIDAZOLE,NA,METRONIDAZOLE,NA,NA,NA,METRONIDAZOLE,NA,NA,NA,2.Day5,NA,NA,286.4,37.64,,
METD5M14,METD5M14,MET -D 5-M 14,D4,1,2.Day5,METRONIDAZOLE,NA,METRONIDAZOLE,NA,NA,NA,METRONIDAZOLE,NA,NA,NA,2.Day5,NA,NA,768,62.74,,fail
METD5M15,METD5M15,MET -D 5-M 15,E4,1,2.Day5,METRONIDAZOLE,NA,METRONIDAZOLE,NA,NA,NA,METRONIDAZOLE,NA,NA,NA,2.Day5,NA,NA,454.8,60.04,,
METD10M11,METD10M11,MET -D 10-M 11,F4,1,3.Day10,METRONIDAZOLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,816,140.38,,
METD10M12,METD10M12,MET -D 10-M 12,G4,1,3.Day10,METRONIDAZOLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265.5,16.4,,
METD10M13,METD10M13,MET -D 10-M 13,H4,1,3.Day10,METRONIDAZOLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265.5,21.07,,fail
METD10M14,METD10M14,MET -D 10-M 14,A5,1,3.Day10,METRONIDAZOLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,522,86.61,,
METD10M15,METD10M15,MET -D 10-M 15,B5,1,3.Day10,METRONIDAZOLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,844.8,112.33,,
METD15M11,METD15M11,MET -D 15-M 11,C5,1,4.Day15,METRONIDAZOLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.Day15,NA,NA,655.2,75.08,,
METD15M12,METD15M12,MET -D 15-M 12,D5,1,4.Day15,METRONIDAZOLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.Day15,NA,NA,292.8,20.95,,
METD15M13,METD15M13,MET -D 15-M 13,E5,1,4.Day15,METRONIDAZOLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.Day15,NA,NA,268.8,22.66,,
METD15M14,METD15M14,MET -D 15-M 14,F5,1,4.Day15,METRONIDAZOLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.Day15,NA,NA,396,32.3,,
METD15M15,METD15M15,MET -D 15-M 15,G5,1,4.Day15,METRONIDAZOLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.Day15,NA,NA,256.8,20.39,,
CUB2D0M6,CUB2D0M6,CUB2 -B-M 6,H5,1,1.Baseline,CUB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.Baseline,NA,297.6,43.04,,fail
CUB2D0M7,CUB2D0M7,CUB2 -B-M 7,A6,1,1.Baseline,CUB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.Baseline,NA,261.6,110.3,,
CUB2D0M8,CUB2D0M8,CUB2 -B-M 8,B6,1,1.Baseline,CUB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.Baseline,NA,544.8,43.59,,
CUB2D0M9,CUB2D0M9,CUB2 -B-M 9,C6,1,1.Baseline,CUB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.Baseline,NA,262.8,120.19,,
CUB2D0M10,CUB2D0M10,CUB2 -B-M 10,D6,1,1.Baseline,CUB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.Baseline,NA,607.2,107.48,,
CUB2D5M6,CUB2D5M6,CUB2 -D 5-M 6,E6,1,2.Day5,CUB2,NA,NA,CUB2,NA,NA,NA,CUB2,NA,NA,NA,2.Day5,NA,572.4,74.4,,
CUB2D5M7,CUB2D5M7,CUB2 -D 5-M 7,F6,1,2.Day5,CUB2,NA,NA,CUB2,NA,NA,NA,CUB2,NA,NA,NA,2.Day5,NA,518.4,38.68,,
CUB2D5M8,CUB2D5M8,CUB2 -D 5-M 8,G6,1,2.Day5,CUB2,NA,NA,CUB2,NA,NA,NA,CUB2,NA,NA,NA,2.Day5,NA,890.4,78.82,,
CUB2D5M9,CUB2D5M9,CUB2 -D 5-M 9,H6,1,2.Day5,CUB2,NA,NA,CUB2,NA,NA,NA,CUB2,NA,NA,NA,2.Day5,NA,415.2,58.44,,fail
CUB2D5M10,CUB2D5M10,CUB2 -D 5-M 10,A7,1,2.Day5,CUB2,NA,NA,CUB2,NA,NA,NA,CUB2,NA,NA,NA,2.Day5,NA,261.6,42.98,,
CUB2D10M6,CUB2D10M6,CUB2 -D 10-M 6,B7,1,3.Day10,CUB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373.2,40.03,,
CUB2D10M7,CUB2D10M7,CUB2 -D 10-M 7,C7,1,3.Day10,CUB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,562.8,84.71,,
CUB2D10M8,CUB2D10M8,CUB2 -D 10-M 8,D7,1,3.Day10,CUB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,547.2,80.29,,
CUB2D10M9,CUB2D10M9,CUB2 -D 10-M 9,E7,1,3.Day10,CUB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302.4,43.9,,
CUB2D10M10,CUB2D10M10,CUB2 -D 10-M 10,F7,1,3.Day10,CUB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,547.2,103.12,,
CUB2D15M6,CUB2D15M6,CUB2 -D 15-M 6,G7,1,4.Day15,CUB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.Day15,NA,376.8,52.98,,
CUB2D15M7,CUB2D15M7,CUB2 -D 15-M 7,H7,1,4.Day15,CUB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.Day15,NA,684,41.51,,fail
CUB2D15M8,CUB2D15M8,CUB2 -D 15-M 8,A8,1,4.Day15,CUB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.Day15,NA,513.6,74.83,,
CUB2D15M9,CUB2D15M9,CUB2 -D 15-M 9,B8,1,4.Day15,CUB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.Day15,NA,586.8,104.52,,
CUB2D15M10,CUB2D15M10,CUB2 -D 15-M 10,C8,1,4.Day15,CUB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.Day15,NA,556.8,86.96,,fail
